,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,17607.3100407057,32408.779769758,22533.4490368829,15614.798948925902,22186.607086494198,25589.650010340698,38679.9492779882,31261.6100949461,15433.3596711549,38316.8730683415,34489.9824555683,23340.4723240639,10238.1301857904,4798.258707738029,3727.90617036885,3085.5998635555297,2962.253919636061,2071.90902721905,1937.1840078274693,1853.7633261859,andres/abajo
1,20089.91298338686,50892.26158932949,30123.414351904325,16503.060303266826,29291.008281047485,48101.74336455738,35209.20430268156,35008.80136154985,15602.391007941897,28366.530496096188,14776.369842501177,10090.880879956858,11496.729428403227,4631.245830003346,2493.4773914216157,2761.739665290245,2452.725610140405,2343.146373988553,1756.6617658880573,1826.399191364651,andres/abajo
2,19362.739267468896,50894.848385366015,25665.381402988456,15906.77889925811,19747.80491757603,28815.523911697666,44589.128869971486,36072.12077522835,14299.61472899106,31188.509050650082,29570.81005604723,19776.530930686786,13809.12603073033,8481.444760870276,3218.038411182541,4064.443307485524,3631.058177701604,2683.575858313181,1924.7919020544248,1881.459710450416,andres/abajo
3,19870.26772406893,50185.08099667047,22650.269373962456,15956.82143353191,23459.11909971336,40639.63357200114,47373.372451235075,38959.9582726025,16811.586870385658,28090.539094331318,33130.27497090747,14636.501989400114,20770.940874050568,10090.307878586069,4633.099258015271,4160.045680989102,4030.795033703407,2829.5398497127508,2441.839429416779,1887.8692289698447,andres/abajo
4,13093.664260715508,43375.19860200773,22471.191211610687,16378.639186554014,20130.852690511987,28173.484095343363,31227.6088123018,23076.43012832896,17880.2184380588,31050.058904133482,20145.16170950699,13060.261876287519,7227.2804466583375,4755.316979908148,3250.299975119171,2821.5066695215223,2412.839666531016,1791.4296559607294,2054.929341403117,1417.2324817043325,andres/abajo
5,18743.553388913748,39932.79426794085,17974.561220548847,16507.680058498,19181.89501851681,28108.48944047919,35753.46511358239,40100.564340746845,14970.991401414463,31381.21147710178,23096.53786175914,17606.945583776687,18654.755316921466,9201.846375174406,3640.615843129629,3631.616194890317,3047.6637675265692,2576.973848249636,2458.7530040839856,2020.068738538166,andres/abajo
6,17833.88011608889,40961.89541316402,21528.60847135281,17342.693609382648,18474.86193349264,29845.529568783444,29251.329818571005,29382.268569695087,12703.563912775066,29566.077426290067,20518.779571172843,14497.415898415935,16152.120104238711,8193.468838723893,3621.292652525509,3892.807037267265,2795.3313325384324,2437.3187614428243,2666.2610311027192,1693.1617562999065,andres/abajo
7,17220.9506417645,47853.381793115455,21178.896815601067,17313.357257978518,23345.34008690832,32626.156240898505,36200.137517054885,33631.02098624133,15056.905471383488,28629.640096084862,20992.055793434367,12977.445972383333,13298.795640494336,5413.194944826524,2650.5973080629997,2535.372596465807,2606.980789667745,2048.4050084774467,1485.7603934320416,1307.103102976918,andres/abajo
8,13889.887804189055,31048.653459082,16431.801828726682,14314.720190795508,16339.527561879646,24270.22260338165,29690.620117121463,39386.741527234175,14322.732650058384,28193.750778846595,21721.1385270834,16734.476025865195,16527.96406271045,8512.137335471947,3304.6404686268042,3533.485091137263,2866.805380293736,2173.6654101185754,2232.8494406633263,1835.2105159473426,andres/abajo
9,13366.15793948395,33888.08136485226,17073.293195867744,14082.693401293702,14411.771460033542,20389.283181130646,27536.903356308336,27840.845223350283,14202.232328246304,28237.796510733417,18565.651377354254,13359.719172673671,18511.96117861184,9193.957590631206,3448.888893251987,3718.8080477734056,3478.506337689161,2844.0028426254,2451.765002748475,1610.395033948204,andres/abajo
10,14922.589698708327,37441.255386454046,22400.88502599766,13098.386351479649,19570.806232260253,29125.691335280368,32033.57999596456,45531.72184431488,15270.342952052724,31695.256080449093,23698.202475440317,15129.693414103784,15037.01501175077,8156.955629557324,3355.6478272742493,3758.302957007584,2883.6024012722496,2363.5626006031634,1808.267323587084,1666.838071298877,andres/abajo
11,13234.382463392332,38854.95369335437,20237.044712033457,12227.7913814623,21018.072717500945,27945.977820967597,33704.65081883381,45500.39768834419,15131.187040315375,27725.84871346589,28107.779091227607,14935.3795266103,12779.882506310947,9888.991125259176,3045.1248579169014,3531.7797262175486,3455.879000235839,2223.955664046804,2243.2301007673327,1671.7116057585865,andres/abajo
12,13011.233978323768,37907.07726590746,21281.837264301543,12859.890614304231,20904.798323625346,27308.898739597982,24425.694266046947,37753.311703052816,17792.027885922536,22897.644928381942,19197.776722845363,17170.6580699305,16185.934928831106,9571.945573339734,3528.748778305514,3144.068221212676,2225.783597457691,2080.7656209533748,1987.4906744001114,1547.8363445171087,andres/abajo
13,19666.118053769933,52041.46275378967,32576.42757717755,16278.323993861646,21006.72374203689,38203.16125125942,36146.32077870047,46231.12577176799,22910.161471493382,33762.240967568636,31783.49180238229,18451.82647332808,10861.088271045746,6232.183391398134,3766.212231895493,3544.562132266603,2870.7758028174376,2525.000069420942,2225.8495114712005,1828.0707717027128,andres/abajo
14,17454.239501868404,44621.752926255635,27795.84930801464,17183.612693835654,23088.96288405749,44007.207008146375,32085.7237579359,45488.85541775527,20127.920187899603,26641.711385371225,26125.07870689234,35984.105094939354,18048.27925363463,7406.717301964654,3953.8940259904107,4104.52479618361,3568.2482021756678,3528.8150406666705,2820.973053235144,2022.2062743506287,andres/abajo
15,13397.858486487246,45284.32032714356,20960.69986918446,13173.135347593792,21111.528860441234,33357.18062405001,33457.935952036634,31505.961907466382,19371.29951812573,30799.527268738926,21625.352246253267,11559.546202464719,7223.252465004522,5683.062473301351,3151.0097592685747,2902.856571228557,2462.207291305762,2190.5768646489178,1884.0528405720208,1510.0243489901507,andres/abajo
16,21330.297108409548,55570.69907902644,33877.11731372772,16765.60284333254,24838.94165407207,39376.216954608026,35918.690013415195,48078.00186535634,19040.98616299214,26901.90435409849,34382.52919568612,17035.226551022162,16865.800859224943,10304.853071150526,4691.2360328003115,4443.269365010026,3120.1959950406745,2273.8916271669405,2125.441799514081,1951.8233602841697,andres/abajo
17,18596.839376232943,45591.174249777265,25280.35324136908,14356.392567069443,21340.8719061796,28752.44543501372,34608.062289445166,40338.978547273015,20148.88597272519,28630.18523680073,31870.91334257105,17842.43144267788,12598.389264480149,6355.450078771779,3768.7693842621447,3840.1206404016716,2840.8043950607566,2362.23828194232,2162.518655740606,1947.2884804434314,andres/abajo
18,14480.673042785582,30010.35386251464,21975.9143739742,13713.075891648885,18118.41604846625,32790.456335972434,28493.925704569498,38785.92735930102,23282.727264754518,24350.36411120241,24320.02277971763,21157.739875080777,19343.19838896343,6986.590290581875,4178.5618711871575,4442.539557894311,3139.167474607971,3104.372424530934,2678.617086203786,2258.4209413161725,andres/abajo
19,13754.161006805924,33733.15577828049,21009.91521481924,13830.405711281486,21770.052783097533,32696.06770315326,30559.66040001265,46585.09940962756,20681.509673469067,23555.726558423976,23577.943337124736,21630.998520415047,16543.758470950805,11205.382853819436,4962.833065719214,3803.864506871752,3427.4256216113463,2819.5182817811437,2604.100868454117,2305.684591149921,andres/abajo
20,15834.548069149998,38100.41614329035,22103.257708995043,13923.805209273754,18202.768390846715,23985.07921603465,36039.91603829917,50642.61549215199,19258.457482589536,22905.66648437365,25877.099710831717,22986.816348837987,14599.970420684658,9819.818060584392,3689.4597967002555,4026.916952177487,3732.758997806061,2599.610769856172,2617.977181461128,1601.9500877535086,andres/abajo
21,21035.229944843497,65863.31909320875,28760.653366270526,19796.73051563407,34239.09160379504,22815.249340582464,43812.31791750436,36756.4443816159,13677.71314461672,34930.18489756166,32231.492623362963,16804.843095489632,8870.48287678118,5681.932848501846,3124.821862225967,4281.529706976267,3466.26908518873,2650.486702898801,2732.9940073215844,2795.5391474264006,andres/abajo
22,19691.07281955561,57086.45507121521,19447.83943403297,13347.89555288864,25752.39223623248,26742.177736001493,32311.469281144626,36072.84388799779,15092.884253606968,28189.509903878774,21973.53601163019,16755.7749298817,8573.48988370804,6131.144880439642,3893.3278006710884,3899.243483903085,3423.753347419697,2900.9740894326515,2641.335169444033,2404.286505415496,andres/abajo
