,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,19078.188205028902,31016.740608774362,36591.5153527831,23665.91851753363,50810.792924213565,21329.037267366773,8029.974129883392,5145.394335684336,6509.4291712665845,8300.569791423968,3624.713285119884,4312.077575590138,4989.032613084663,3769.7562537634185,6371.628656890431,9028.388716587253,8585.02011555259,13014.054894267589,16011.5512465376,7783.016007196129,andres/andres
1,20294.478255099613,29609.096175905528,31194.42808887473,25756.86682844499,41581.41288935868,14384.052331712495,7427.698310905963,4076.928266817235,5377.558272198205,13119.183960613867,5393.850315850639,5120.868430908046,10259.940120242,9644.421763923438,12040.828802511687,9412.248056925313,8924.178888338914,8505.653973823037,17161.358269911612,20169.231979093016,andres/andres
2,26110.32844821088,37855.37488806507,42208.29083307972,28340.88966168988,42439.12806826551,27825.0194182657,7919.469729540324,4071.916879231816,7059.124786432769,7053.277660031346,4097.640123312308,4051.492856313972,5883.021135701074,5663.080739929552,8352.067868747125,8436.794125504808,8981.04002744978,15435.01027529205,23695.821790731206,20009.28243957919,andres/andres
3,29738.943000349238,45830.38135009945,42422.70996490085,34942.14419811718,48909.434688400586,22975.227825708946,8397.546914782075,5385.891817697993,8150.7306963322335,9730.094741659472,4522.231410749095,4571.7961147348215,5420.361441248857,5045.515688474821,11306.225784881155,10827.69852046208,12880.26828619746,12855.980848658906,9844.026210379132,5281.5129181656675,andres/andres
4,29454.408916409084,43585.528288639085,36537.3987632145,27430.595151212765,40702.14309520035,15082.222328926866,8541.378328903,4682.8126629124845,5867.347322978039,7101.222030861855,4197.2352156620755,5085.226546017897,5204.803827611633,4455.105505321902,10388.486219649294,10333.969280598074,9696.796297475708,10960.70103244029,17674.33533860827,9978.334245190541,andres/andres
5,27393.25413046788,40778.46824220927,41229.12561518734,27821.424908455985,47561.637979765976,24417.798841726493,10348.594562130404,4912.02714656486,5173.658076197652,9277.234196371646,5330.160703468307,4657.76739164344,8017.40060937735,5037.430822926262,11567.750364432593,8712.181935260092,10787.840654756463,13263.857913140633,17476.529209977693,10612.874797485554,andres/andres
6,20539.617928073734,37498.06867967967,34060.921772334244,24298.117595932217,45684.94932462296,21338.69148242627,9007.77585637548,3983.680260927311,5699.333552753323,9546.1309113038,4051.8431017872467,4107.273806518805,5036.869534598738,5034.063205603498,13422.600009652546,13891.48318586676,12913.284315612505,13541.172177768509,18572.67741155084,7830.82458444874,andres/andres
7,24582.181021153563,39229.95513754072,37933.900693413,26354.34014196002,47502.048197613054,21731.195836008126,9359.24576290708,3585.8966700245,4291.31305101497,6078.4910735444055,3623.876195143629,4119.7947922633475,4635.810131908695,3816.8087755293845,10468.156529020178,10245.025175578008,10783.271077444495,12496.178793394041,20448.41244997728,8120.911492113352,andres/andres
8,20031.337003290966,39167.739286137185,37060.425533860864,25152.34955564396,49987.23959039449,16187.628981945769,10421.905158115234,4645.254324970146,4123.411167124428,10197.849010323042,4278.6109706386305,4817.516326701811,6056.925446719667,4837.377587920949,15745.837691514482,13004.393293124194,13488.071903247455,20321.544264519427,20235.614685311808,12719.916241112005,andres/andres
9,19083.1234751144,33056.136461672715,37053.09127485369,21493.362230584342,43558.86618566752,13312.65055026133,6854.225577824968,3594.4366963470325,3437.406458762524,5853.5225195491175,2989.1272997482397,3305.813997689444,4167.355892404719,3340.601844087042,8168.929547736458,9626.16075835039,8848.808769302377,10637.175383332104,21636.15149772052,12225.449716365678,andres/andres
10,34529.842464861664,39060.39101236085,33532.727312998104,18507.360419955898,31527.53659827727,18931.54988645853,10716.215007192779,6287.925265132316,8165.871524986743,11595.289462490493,6277.408311993659,6532.122161959329,8267.808649079136,11216.119985859099,18404.216816792643,12296.503983460752,9954.686085030711,8398.833126015155,7501.766297742759,6213.91475883228,andres/andres
11,40171.44592324776,52223.88036553684,39894.341263210415,28134.583696312402,52125.03239522466,21982.53813753484,8930.198442821345,4591.13705446625,6776.0161239530225,7857.275681476977,4594.037916260644,5211.5684294826615,6132.473607543026,7320.962326334517,9864.267498983056,6818.934078336042,8657.511315823045,12074.724567232099,13580.548626543314,10958.953049700147,andres/andres
12,26133.567726508765,38421.06317588997,39609.30043853714,27879.232955851134,53075.3821542812,13694.44158659686,8251.651622277255,4370.810415925551,5608.820128329688,6963.990894718202,4275.586614162288,4189.160260126533,5012.267812068997,4329.552361854252,8986.187837809235,9676.500474170927,10464.748622687692,17134.052989886542,22349.594085092584,17152.556750998978,andres/andres
13,22830.73843034384,39291.37347471871,34310.710067177366,21494.13174995067,32860.94318269937,16922.70655136442,11581.257460660727,5115.391197433573,6605.316887153177,11826.153089119194,5390.005316695642,5325.7216489877555,7099.544810697786,5204.6109640211735,14736.008764222504,21478.313994821423,13231.052910455779,15744.38647038036,18835.900095695306,12665.26562605926,andres/andres
14,28454.47024109425,52000.09381653207,43519.91692380968,29791.98655786872,47052.60110000924,23356.64262827517,17808.638731331637,8700.574590281842,7269.653157611765,9069.174226185029,5046.568291293462,6276.9177956149915,6353.026306149294,5669.3457462397555,10750.348716212011,16709.334750015485,14856.607596443891,19038.19115234685,18968.634776654475,13593.033528898244,andres/andres
15,30581.058920634838,53929.90309660798,45211.099950601296,29344.489817661426,42661.87387960232,23603.5204729116,13695.800174267022,7674.6170165613285,6235.9415427637805,12185.061245289618,5973.739222123998,6272.725459704788,11645.858119539165,14561.964381825914,13408.572503254614,13465.775932230901,21286.17637894246,20148.377986851403,12743.446323170312,6373.213180233759,andres/andres
16,28850.123785804586,42462.3108703342,40617.4110111416,25339.915294641756,37929.6601703023,26666.168869338,11791.606770786568,5928.667037732172,11002.256378476044,14760.484421422856,7945.1241476528885,6334.138564627629,9177.464965540612,10015.928677571635,15242.586053643881,14915.676773364232,18860.340434650632,14935.419634198191,9876.645837587026,5884.652969449109,andres/andres
17,38394.08809326118,57143.284884796834,38410.4049030536,23011.098138754664,42412.09372910812,18337.387064284027,8943.689645865288,5770.116661368016,6520.776366260378,8951.088777707715,3883.463814420825,5068.891189041808,6572.330310214312,5788.744442796858,9403.256369752042,11053.715426945138,16279.217960638154,13306.360061804651,11645.813812477272,5611.101668750955,andres/andres
18,40661.41047652996,56244.74031067277,51692.39819506583,28895.312809875635,51957.9774449129,16423.612045161855,8552.166399319382,6168.340581485507,9024.791496108384,10784.856405109562,6817.864144073987,6387.348162651166,9280.036124198266,6712.199637498645,11185.184124330193,11228.04377776262,15113.690065958239,18626.543353365945,19925.140115404418,7907.753433757622,andres/andres
19,43221.25760067125,50933.47617546041,40287.40029330777,25822.735544814732,41972.42545679292,16157.908427316135,10755.48293771388,4812.02308467474,6660.003595445543,9357.204002620125,6308.1749041432995,5775.230996885987,6402.114297807073,5173.887157514009,11304.607169226785,19585.005984598283,13474.79553518191,17002.282088065156,18419.64924859866,9375.77050856387,andres/andres
20,48678.07842790085,61987.40152374968,49844.96651821145,24382.65866336602,50421.42572456032,21580.53249323633,14508.286297670007,6283.781127644809,9367.087792805944,12808.364984746824,7038.776305186851,6928.8362779040735,8838.282096066854,7997.617850343171,17183.771979377932,14868.53058617271,15776.639267173985,12559.065723234009,15182.098773696593,5592.189414926942,andres/andres
21,41858.48746222683,47064.119219132685,44569.35055100208,25391.95700848532,40096.083608116845,25390.934650706167,12614.407444944034,7112.317163311927,6958.8720849399715,16476.567844330468,5310.891420374771,6509.653024371833,14549.871100309116,9483.70039547568,14828.31192765055,13732.106860705371,18355.326835527794,12732.688639839229,13370.324392224888,6827.566330544439,andres/andres
22,1932.8520905526395,24086.69214770482,24038.945998848085,21248.41890012094,30788.970009563,20206.587319357914,8265.799259699694,8505.892141103177,6959.0836529320495,5116.355909034992,3402.535050578446,1636.087797676615,1333.0903227437148,1450.7750986839044,1073.9869757174686,2577.524432970121,4713.900188616232,5358.835184358222,9350.475065037992,8504.138809995207,andres/andres
23,2118.0544866071214,32387.39424963618,26431.369707121703,25251.209674842044,34687.99429645625,22088.180940439124,10833.717438999696,7535.569909848002,9278.467743522664,6179.554334935481,3646.119798771582,2250.306987463544,1767.6165506917084,1775.4014402919702,939.6521850405583,1430.9822533492056,4202.949484216758,5800.971274143289,6510.013230897532,4481.613723152845,andres/andres
24,4521.2290713892935,17504.390347750093,15720.109056799707,20440.243074421185,26840.174048911256,19667.756367100657,10339.192304233156,5731.470818416657,6221.218382902417,3692.922687353361,2340.3038518505427,1331.7841860493093,987.8851729149053,1541.9916290405874,1530.669777174906,1857.8606161196121,6517.195073785525,5472.71116633414,3864.662031244433,2355.199762785794,andres/andres
25,3591.09689313655,31021.241360741034,23023.549331856517,26369.14245915862,33186.24648931061,27195.016660107653,12871.038815164737,8935.636054116043,7791.599826462201,4120.790399601778,3385.8966754248468,1478.7259005357403,1147.3912624795125,1354.7634996789718,1472.5101023274524,3308.056127942533,5904.248267938208,4988.788179884558,7510.827963483525,5790.1705381438305,andres/andres
26,4930.403340643968,16669.112756368097,18077.511969285595,21152.74418220577,27072.91788265017,20779.338579323656,9348.779568500937,10601.26501421032,9939.504962995501,4827.538351001893,3542.849021266691,1939.832062144968,1215.1271509327146,1412.8128914786907,1269.1037197485464,2375.4532755207965,5372.21457543591,4340.621257581001,2722.652644022848,2513.9312777632667,andres/andres
27,3553.464954243871,27075.227253070098,25841.316216133244,25665.644481909967,29868.0975590565,16268.023835800224,10134.36045777526,10270.414085098168,16531.666029606273,8403.377715271694,6612.444608767951,4025.330119301132,2922.691025696455,3411.098859235701,3638.854507576297,4915.370014782865,4715.652841870803,4081.068064788661,5952.007068052201,4726.937591737094,andres/andres
28,3254.224841308595,23529.868220173263,20027.121996940983,26372.53782621125,30796.540837419125,30622.568818034215,10012.486130357316,14771.513020449074,8981.805978022487,7782.123325968716,2206.303311183779,1452.1181047615055,1138.5505551946726,1929.245512223329,2300.2982470874035,2482.123438576124,4342.023413792858,6020.5824701904285,3894.0500547383895,5109.7120926140415,andres/andres
29,3348.428074604259,26673.14022480944,25488.952013574628,26850.5526597772,28899.32102011481,23058.732663075916,10974.29498288475,13970.500901045207,8849.237193127145,6035.134576508471,3466.511008787853,2232.916011559751,1506.9601281819348,2382.473589086821,2508.109364386865,3646.1467242765693,4171.13937732064,5709.1636069381775,5853.2955273974085,7730.4574122855065,andres/andres
30,2685.885086743269,30027.921251276624,24241.060875502,30582.16229604072,32359.42358722517,21282.97396301323,9336.47459287128,14396.766491779585,7386.523494205556,3841.2042477877785,3517.9274700308283,1924.4144005028534,1159.6853104298373,1464.6222116788626,1025.9644599750422,2984.748500298201,4900.88098657897,4877.725216243576,5900.3039312327855,3321.2403794220195,andres/andres
31,3824.960673098657,22229.145111102946,19607.68633663642,21141.67671274546,34231.69822878572,18504.24337322048,9161.683236215044,11550.75492590424,9485.242162763076,8637.324822610472,3751.249137063888,1794.5372262041838,1121.3931342544217,1704.9963151755085,1828.917856314491,2513.655089331632,4491.456897228816,7104.45639667347,6888.820402998147,3236.566137321923,andres/andres
32,1687.0979596637217,30132.69362555037,27244.970149825225,19724.797578392438,37869.85630969525,17507.712616137767,11267.350523478692,7868.139537084998,10053.030149422215,4956.465085330165,3445.757318359756,1151.3419173582906,988.688363268333,1967.985525022926,2401.937093619477,2411.5706571330315,3724.8355763158575,5450.882846431876,9165.350093735073,5891.192118941013,andres/andres
33,1965.052819553047,31779.43166889997,28701.445764317115,24914.94085392287,37741.01516905561,24937.02532095411,14754.17348076798,7901.507463632845,9377.694291160717,6564.011701675818,4268.893105085097,1757.6510132298306,981.2753582320801,2390.681025238153,2613.0843667529502,2999.520526588348,3246.2518668929747,4180.932839324936,5770.852852578157,6826.031088719798,andres/andres
34,1867.0855788380213,27825.16428506001,24708.324487754937,23602.50354894439,30936.10356095839,22107.74937440028,9817.5533502453,6320.411045178808,9136.85472260474,4669.93524922709,3072.005107524021,1258.6528321067026,954.4532304098572,1748.439428790447,2548.1205784855297,3148.681071920921,3578.8637190595155,6398.729248033784,8726.554192967275,8289.453231392865,andres/andres
35,1640.702690596778,32802.74427516676,27985.542990885708,25851.092326355385,30721.742001170016,21503.083854901888,11559.728610073207,7952.380711231186,11642.92017597619,5888.150756932071,3970.8798424844563,1482.1835067308746,1248.848950904079,3215.1542819286906,3903.863150262407,6727.498773264814,4953.707745283885,6462.355230003343,7841.758052102257,4801.753495126071,andres/andres
36,2396.6283081212123,31468.07832764952,26831.12695750728,27066.63909428583,23772.630289032604,25347.39294283165,13596.077544353991,14628.093276287584,10197.811882851589,5411.706607675061,3459.761680585281,1229.3738095480508,896.4088478111478,1071.9134463218425,1649.6422026152961,2906.3049273060774,5246.480785496011,7404.150363659613,9132.930954043424,4992.531776972405,andres/andres
37,3389.4198376094073,26054.87789746638,25821.054960038382,26243.84032127981,26853.02534004816,18718.626241578368,10435.76455043395,11442.803241783886,11857.92652377562,6196.8270450282425,2445.453489278721,1781.0194905165015,1164.1585513528005,1058.5751001310414,2443.652694070127,3280.9117676521623,3512.0708318154293,5087.852770429474,5175.966756727114,3256.5487563665747,andres/andres
38,6214.698443472744,33934.69111061483,21532.65898871412,26869.88451127099,37417.11171406347,17735.39925890528,10294.71054410081,7151.292717760967,5327.629477615492,3331.503208511629,2202.416093639939,1625.0158338840236,1245.7496149975161,1835.3985210644823,2164.653253190694,2947.6098525197644,5064.917628984286,5474.956060792021,6297.757300501577,3413.919599836607,andres/andres
39,3995.3363049258533,25200.586289307797,17128.042398016554,21037.494697922342,24561.25463721754,17436.945644524785,10424.72480505349,11264.624892249512,5559.762216303206,3545.814206430747,1861.4733355529006,829.8664398173897,611.7031952586475,691.0028690183028,1177.9288049907705,1483.23701922797,2314.309119347447,2949.1495374828114,2237.350713503304,1144.7597288498646,andres/andres
40,5129.859548717236,22355.18022160084,19414.6691783671,27904.18416693043,33870.850631683235,15684.598951862605,15834.02878690808,17008.513898337325,10202.798926151927,7511.1649835440185,5668.1809247461915,1810.795350168669,1508.834551152777,1649.1435734132276,3438.7398478694586,5025.22557223783,4941.557093412483,4794.507767741471,6924.366275579225,2858.1643969902825,andres/andres
41,3598.242544730033,19228.0825849205,18792.12314254564,23525.905456759145,34236.11918927354,18116.739155536103,13044.732975198898,17174.215680092675,11015.473222068962,8035.6082616420435,6893.3915906752245,2738.509560457848,2168.4992293669393,2873.1554010598993,4995.13640033853,5953.408990324,4371.704226081728,4661.649119673083,6386.898589298871,2753.5219796648407,andres/andres
42,2339.174384465295,30110.715957868048,19384.473708025893,19973.841114789786,29945.231098035863,20616.928001381635,14399.73789884864,13225.178354454498,9743.097997169712,6990.650277033216,2443.994179137797,615.3484375691414,595.9927122107445,1005.782942144352,2406.781871911377,2661.809444799029,5348.699687457764,5936.237848236048,3472.495920852611,1493.3174762381518,andres/andres
43,2107.1140339290478,32484.556270484303,22628.9718218989,23737.69189301656,30141.46583266928,23637.68381082532,15082.162087876553,16337.68372395329,8811.300679635915,4999.3014796452035,2814.0196185980994,1218.767008654464,829.5374745652333,958.5094238390717,2129.5007342515146,2571.758463531745,3416.845027890202,3092.484062522593,2018.4140095024493,1239.9074565878884,andres/andres
44,2493.72718564086,23974.41164064896,19145.48572424654,21380.91417045984,23713.23849652181,24134.793638783198,12642.911118518845,13910.301078725202,9881.335970908747,5333.836274965457,4290.402426187625,2225.5730610834603,1623.1647037843204,1937.836759430826,4872.759726869907,5028.666335889969,4348.365751663358,3863.870505294364,2612.7017601850253,1797.6244048482047,andres/andres
45,2661.523196585837,22599.094068446688,22955.57132888503,20221.060860413723,33124.686856506436,19955.349048635988,13342.745865248753,18201.85905415343,12835.595470571072,9449.046401195366,5398.854818404032,2267.4630085215063,1646.6641563143426,2905.1355972422443,2976.363481010497,3989.239616020297,6026.33636113237,7344.940159515292,4890.380703875538,2932.0340102710247,andres/andres
46,3925.858903637436,23000.358422689453,22741.676685997685,25716.807675973287,28458.830542232066,19546.29836445681,15360.418043415031,9771.210838461873,9979.051604669223,6000.259940991646,3246.9548222080243,1688.1830468216922,1196.5386115463702,1291.2176104455298,2184.476248673549,2549.5994505464896,2686.415167023872,5504.409327842824,2942.4568253201314,1501.2269431350558,andres/andres
