,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,32293.4335474865,55979.7570918555,47637.9590709517,28016.4107332454,37907.7273139131,26065.713279662003,20046.648973631698,16311.8443911502,9769.73478055245,15358.244000689,9454.827083170409,9990.26172770314,8939.340113482629,10576.370892385401,13805.1161777635,12008.8187586424,9823.64056245471,7550.639388234441,12197.969572375401,15422.5494793124,andres/arriba
1,13968.635786869008,52256.54813290056,46950.447958604505,26970.842392914376,54739.083645714505,33418.640423318866,36161.183314136404,16725.776912580637,6667.77049904442,5057.141333744926,4805.164847479516,6558.317599226198,10376.659605137049,12687.699361543991,7322.875489910255,4126.537331446953,2659.893861362406,3078.7000537628637,4735.772149709648,6879.8660864775375,andres/arriba
2,18809.609493298878,47331.84062518684,32765.903075859438,26277.8779391328,43656.26475762844,21986.146478073246,9719.053237501783,6909.677494106238,4300.35756588323,3623.137316975854,5886.214073175515,6764.375911335495,4675.5783695486825,3067.745012493887,2703.183909611293,4393.8789092142,9533.779163403084,5894.596113976104,11020.882879929624,10939.53154991922,andres/arriba
3,24738.08353124022,57629.79800869669,34605.87010864982,29845.00232686504,40459.38658427797,40247.216445630685,14297.937222612833,8785.157962045241,5480.0671387943075,3727.932999925405,6719.905760930339,12962.301458343316,11101.600523176998,7571.477301659066,5225.288100081898,5113.963691843488,5377.262471565389,7646.101198372191,8214.94219745772,12409.23566084294,andres/arriba
4,18770.962492939303,52236.26353812129,40294.174541514665,32105.36006054569,49437.064975141904,33149.600863421336,22160.584846381556,11853.04433722395,5538.861018091,3150.43436467039,4441.396688229856,9117.457623316168,12918.120147441201,8809.314319110235,5074.612861538875,4703.508574757953,5322.598833465048,7061.961800118409,9283.19476774127,14091.657811364868,andres/arriba
5,20914.4055245817,50906.94626668165,49510.39448753052,32031.053027501293,59148.95320845661,44945.15183708284,35483.40638651463,21046.341196618112,10133.992791637049,5161.544170521765,5814.446325721297,10240.619738410096,14774.958657084466,11402.749682296499,7950.614397789518,6416.610134235555,7603.415518292717,7414.982870494164,14600.011379048588,13235.533397831152,andres/arriba
6,17522.3463468319,46991.26092244072,31591.14253102437,26650.75674745145,38629.63922558205,34609.40997798053,15555.856840478407,10370.295526357995,5475.0197024390645,3959.517679784146,6614.4369195851195,12123.931027116085,10277.814356903502,12491.041339737134,6796.444171558018,4605.718467217621,6247.12011806546,7291.405075008543,13102.149032510371,16625.27338471804,andres/arriba
7,21718.639037009474,62062.844840086706,51241.36977303419,30974.147210410916,63201.03833782076,47927.221351722226,30095.425197597968,13529.828616751829,8906.722778144856,6905.149459969087,7645.03032023229,20271.19749090057,17309.657858215993,10947.983402440539,8391.100290046279,6317.198812674635,6962.591907849056,6742.546708496311,13932.755539311329,8587.550696744738,andres/arriba
8,14276.700805819431,41395.544033822436,43604.42013726935,29887.81589246917,53978.40768067165,37437.488393085936,32835.679359789974,19274.785867944618,7776.5883286296375,4885.006971209947,6487.5471105568995,13035.412484349461,15444.065947754585,11726.276956869951,8752.682644784532,5721.92005247498,6613.4257116964245,9126.638777134644,13317.072599086148,10608.969478854304,andres/arriba
9,21238.078523627737,59877.71919918437,47890.95736061873,31847.727888685426,58934.37371675832,42294.52402991496,28537.624553713744,13188.803136380771,7409.304761064602,4611.38466033316,6789.141090483163,11850.330676483045,12457.636324856345,9861.3274608854,6384.063270861933,5559.485519853468,7387.3715697480575,10216.354142099022,11091.183986380514,11297.092279394796,andres/arriba
10,20749.12242110062,57239.53043004652,47528.403676546826,32380.775209717438,50306.56306930324,34022.071801683844,19702.03640439573,7641.08196626362,5171.147365713961,4121.9197718206315,6545.9979504749535,11598.456206831399,8293.5468162952,6742.696186261417,5589.340929368001,4530.4149192663845,7903.487253365852,9772.726335092033,13245.150295913147,9838.65627798999,andres/arriba
11,13930.838160820063,47338.148365223584,46147.84152900669,31779.531735200704,48469.49093532117,31550.25518947963,24240.18764642977,10595.426568772484,7802.6570233373795,4804.06408374364,6034.956085854548,8845.885946137923,14536.745947125908,9232.887001251793,7231.3319928959545,7038.217760127132,7382.225764895454,9156.411709447528,9952.099433972482,12999.614279918042,andres/arriba
12,15537.517051277331,51136.61496480613,44005.354862433036,33204.181979401656,44023.99740290146,29896.066513614503,24179.415163010155,10622.906041303415,5811.756283072002,4153.0630989684505,8088.347441690571,8776.186048093412,9323.361377523395,9187.270346961657,7111.410192324726,7314.148910748871,10673.336409592532,8752.381261317252,15325.402606858595,10431.966224345044,andres/arriba
13,18452.243602928407,57968.80133761642,46960.55155798378,34569.0349489995,64891.37298064378,31416.882247210342,21931.876463849298,17011.44394805807,5982.237884755142,4298.059458910047,4785.015826114612,11671.361101716007,12146.275284289417,9550.314284722892,7719.6834164469365,8317.15242957923,8001.5567470061915,7185.619250886206,12440.037916216797,12463.878623057715,andres/arriba
14,14282.179382187769,48697.42652860328,52590.16625203988,35422.01272734134,65795.08211295841,34120.76243532989,21719.86557657696,13005.651080626567,5306.213749636398,3775.7007355065352,5178.521365302433,8483.43046594035,11618.853582453221,8980.750193907668,7213.352444214416,6203.307961135206,5643.48800941322,6406.12637962082,9406.437527394668,11904.755357799502,andres/arriba
15,15127.658495969668,41965.936392684045,39981.45804235774,31141.70570551805,60206.63648168139,31851.413952064093,30596.458779010478,15174.856464241619,6665.157519203979,4142.16794364984,5504.997828237096,10443.482535720304,11452.100422676709,11104.944640162548,6844.044047787529,6402.215405069162,6849.975948575556,8076.191819436788,12247.779430802022,11405.842683655816,andres/arriba
16,12001.850287161276,43572.98529554782,44138.263310637936,29485.778516995568,61986.60916349645,33944.817061952715,37136.592532528884,18503.08656078556,7608.328046847515,5276.415668436261,8830.856592421329,14506.156720359199,17055.265406781986,12437.568929087758,6200.061394701292,5600.176221732106,8460.790854340226,9376.618655260709,11078.043914086917,12525.697711985578,andres/arriba
17,14876.143193126116,43183.02071215888,43095.234776923295,36116.439441455215,58539.811479503565,47015.213787140274,41637.44024696274,22432.545516563165,6491.726506671977,6007.240043006895,7432.548507931666,14790.874239771623,20033.089631179664,19427.54142927196,11827.898617358911,7631.733388736924,8276.729079402921,11421.129208957784,16108.83609106281,12333.148295394984,andres/arriba
18,14543.28404949136,42658.07313060712,41730.71189740114,33250.42934733702,59845.90002482827,37620.32766671277,23757.83602040644,11376.527359087126,5234.0371304608725,4045.3320731338345,5314.324550254592,9682.904770750125,11665.577501385742,8151.171513194106,6099.421497069696,6009.230702085986,6740.045797184979,9444.323924710578,12343.25315898718,11473.930955625112,andres/arriba
19,10732.946495807522,44468.62637629472,50115.05464963909,30620.807595808623,54669.474678959494,39463.64863506272,37967.09492743904,21790.507755607483,6558.5893306447315,5476.4455096722495,6795.217768107899,11091.664348999662,11980.14414314451,12416.217436131643,10024.26735168462,6663.14754432056,7370.248938892613,8666.99861257412,15023.443803539729,8786.815716835337,andres/arriba
20,14226.087041340117,42177.83164939199,41011.10265520128,33791.61566307297,54834.457092807206,40314.588623438656,35282.08333872141,17545.35845085387,7291.165426514066,4725.869620115601,6368.267062725012,12407.843770950945,15279.770948533482,14887.559119733733,8648.926334682179,7408.248650122376,8642.487878337448,10308.317005685842,16470.455427616307,9660.510113057097,andres/arriba
21,13587.144024423918,51356.651303356375,46925.34732648372,33865.49382922727,65538.28155093169,39910.648981088845,31438.58008654904,14022.611693318891,6214.32060924408,4594.0463536549,6594.098427810804,14652.79335617627,13458.220837060137,9061.255386572382,7102.137125639786,7339.726528256445,8216.962141665219,8453.490165636493,12774.712265660224,11079.518609955765,andres/arriba
22,15356.09692505902,47338.32277109841,48031.47461750552,33090.71892680256,69576.46869334961,39091.69412425507,24111.20241111,10150.611560134475,6051.456847180063,4594.119447481533,5328.875928424515,7496.043681060626,9939.951245013091,9981.365505143014,8816.374101359124,6510.265991890432,9581.942567300595,10154.894748761228,13121.522526737737,12172.829830389419,andres/arriba
23,14434.994850676692,42283.68339453581,51357.12281422376,32220.322146655668,63497.83330346031,53610.81308796707,32149.92118017951,18284.993443760333,8455.07645821918,5785.314916746003,6104.041248479739,9850.643864320069,13207.414409131508,11433.483030924735,8463.752038212664,9898.1476620303,12610.493550685243,15959.612872008853,19034.757965241915,15275.255343518416,andres/arriba
