,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,16166.8486274548,31883.2836675361,34173.291778423,19354.6125552139,36199.7556696546,14930.966936615801,7315.64488316927,4772.5944793095205,3135.33456477797,3907.2725823871997,2554.30288781781,2428.94918144192,2769.4207787886603,3025.0431234053003,3666.0875715508796,5247.99880691212,6713.4451943043005,10109.7402266908,13655.4440441272,18689.0713653916,andres/derecha
1,23335.22150841909,77259.09315006615,39967.90015272021,33232.921802746125,65164.05731161313,36384.614012152284,16395.887419271046,8914.486491048028,6293.165830232848,3418.1721941543374,3801.94695798387,3502.048888273398,3646.0423858204717,2905.511811914596,3576.850714167124,4187.070492403651,5278.992098287868,7076.158817482126,9921.68339765855,10810.990886192563,andres/derecha
2,15594.91132067626,44101.6492006062,34241.88148965415,26863.33746131106,57391.7221558148,31914.741348535656,13049.670339978753,6406.237552592766,4149.8725726706325,2846.2996774406583,2811.02728521695,3589.6452055819104,4115.213990835501,3537.888289846004,4647.906251106892,4901.363870862076,5080.407459351238,6956.284936563815,7431.368737482177,11391.411732719043,andres/derecha
3,14488.829837422649,37467.417197668816,31083.643853842157,30695.13451104704,53811.68539070334,37100.0050154308,16247.285318381902,8453.938439968135,6350.5284570072945,3947.5660398345617,3106.8040170866193,4252.47116806427,3757.725474991218,3038.119460359594,3788.534733372072,3595.261980335957,4777.257588025672,5892.4747801746435,6197.231189161588,8484.409522155636,andres/derecha
4,16220.79901071547,55105.967245902946,32055.358651318664,22610.66806737252,48878.205852311614,26852.72334908272,18015.323159979085,8908.726913902476,10476.04875573752,4360.981791198948,4118.3753487089925,5372.744634045702,6433.9226347701915,5080.812957941125,7547.760597946148,8686.154045032097,9527.739095716315,6651.818307098538,6213.632400061354,10535.977501767316,andres/derecha
5,15096.693136567681,41647.11214553098,40248.30806520448,29295.22298686976,67957.19801185463,44790.56279888158,18935.033832716697,10392.025574047228,8451.048006031924,3246.013658536405,3356.2694239285634,5809.363305591365,5174.83567972639,4968.956807242177,6389.014135794828,10563.000685870966,8743.728255995089,7730.294349485426,8631.230743648803,14944.381503243885,andres/derecha
6,12381.9678752383,31234.63454798709,28487.849382221466,24314.978666327508,50326.134392505184,29175.377482099346,12138.797336159698,4447.7556757206985,4523.60564006339,2235.525127923919,2128.2328463008357,3630.161792967523,3592.7001863064124,3433.205827445484,3855.8299000361762,6254.209761572621,6412.8624901875655,4401.360263583371,5891.458496908304,11081.686496846392,andres/derecha
7,17354.209637324355,53137.50528949042,44854.54795830588,32968.87418217819,54896.682257323846,33963.07988386572,17426.069931536837,6564.595092576346,6167.21880643091,3906.862916897447,2829.2917906519647,4177.2642183042535,3732.904933218517,2946.664056398928,4049.807686135976,5531.897935463084,6224.005871826678,7492.913571934341,5809.0033336904735,7204.728751608218,andres/derecha
8,20457.032705662186,52843.94001221909,30792.318608665602,38896.715559438206,41341.15817627759,28557.642188725902,16871.510647361018,7521.578263287578,5545.834737405463,3043.4645657599394,3149.288903094245,3841.140427652721,3655.938464868789,3395.239451819541,3584.9290183996836,5800.379931546807,5921.2169738245875,4792.128168786485,6240.200176509321,6323.606103058584,andres/derecha
9,15293.604762325363,42478.677673451115,37319.14171774108,28120.646180843807,60362.62376779536,33071.23913462746,16183.987363732795,8162.663019451196,5778.203049591494,2706.634584754845,2977.406872133453,4781.585839470973,5415.950904995202,3629.3434033244566,4164.7037101703745,5231.148605578745,4455.7562775826855,5072.25845298055,5718.385091856825,10781.732836230438,andres/derecha
10,15992.742085436841,41442.319504736,43104.39804996937,32756.480740436342,62236.52315302175,42472.429551499285,17290.64903521581,8288.30261988171,6961.771745519083,2666.382347205448,2355.6820617215435,4232.451765010538,3815.9197455448657,3593.442213237759,6296.436658002267,8380.033007150827,6565.019339701279,5825.009614890639,7086.5153500027245,8907.953326147259,andres/derecha
11,16651.384916526942,40371.0882987627,44794.68468425437,45213.64895912462,65671.0568105304,36984.44349364436,15410.116951154485,9127.919542462807,7102.317344606122,4485.437986989278,3189.3258220579382,5226.455018423207,7311.828056168934,5209.922231594517,6237.499489156034,6995.943292209325,5978.685801357955,6293.967845493174,5741.976161378081,7020.20804562913,andres/derecha
12,17440.681148434232,38606.776356950286,41827.51265103573,37693.47876814184,71040.97508995308,38219.19971998603,16361.919224619694,7601.848940902121,6307.2118395018115,2621.411799055791,2565.3567823426347,3110.8997363373965,4141.6437439997135,3414.302184003657,3660.680484348313,6440.3289983220775,4794.243668739864,5061.511805269362,6895.438791435609,8744.73825320129,andres/derecha
13,22044.701778465875,42720.038000636414,48624.59293896669,42300.809551037746,72923.53880664858,41143.373074285,18278.39760463739,8503.151948124856,6834.481023526305,4121.104152750586,3590.4919230597948,4318.424636548634,4281.2791596509005,3618.384851431291,4517.519736595308,5701.442955401681,5208.358686225545,5157.390922203722,7124.194971004519,9190.731084663385,andres/derecha
14,18509.73624683305,35711.03598007869,38979.667906885225,29540.667984339878,54256.314404861776,33848.98947416219,14050.498604767716,6676.40654631784,4072.495477125824,2927.940600451352,2297.225233531877,2747.5592315570602,2626.8394963820424,2514.198077693317,2647.275451772427,3469.521741213473,5117.881567372553,6244.12006820729,7135.883369017819,11286.001611491285,andres/derecha
15,14837.063201698777,49775.76770054577,39381.41886016561,34067.03183720085,44719.017312099335,34293.017876504455,18418.57889014345,7288.701804063418,6099.293601402621,3081.2819138432324,2876.9312115730463,3122.620760603838,3325.300092468157,2313.759349591946,3940.215196395856,6402.09351181959,6139.694106386261,7282.945600437507,7253.581792374352,8612.845635333118,andres/derecha
16,12788.521583996811,31878.49754313852,39384.293208732015,32705.458695009555,55525.179914953165,42166.04848188588,16751.672686839283,7361.051592810201,6036.778998651109,2617.7133315580604,2733.210449764009,3097.365823310396,2821.2511719557674,2471.1422307168077,3122.0121325217046,5733.763041021595,6047.1370118011155,5593.785850651979,8212.095902808007,9762.103509786257,andres/derecha
17,17372.865990576913,36745.039813858566,39375.7101658398,30358.249054982472,56726.3365029563,33398.65138638209,19285.734206389425,8086.005151923845,6861.5192529305,2539.013411686525,2220.4124986478027,2870.6027656390447,2887.838210543958,2795.5957963734986,4148.597534106417,6965.718051936922,5562.724852439786,6662.896268306106,6621.142549594681,11415.372564888938,andres/derecha
18,15785.648510695293,54636.96782354574,41848.39453752019,30192.515688070947,56924.8806906981,26848.902898846318,19530.25570571464,6710.996110927046,4871.707036602781,2912.0417706411104,2685.1983027450656,3542.964325638819,3695.131049070197,3376.074282292603,5036.591026936665,5622.582046130818,7071.020866878296,6741.010484315704,8496.725098743624,13842.24765881772,andres/derecha
19,17561.599789477958,42874.106601451116,39542.528282544896,34721.91849684261,62184.48874993192,38523.98634959744,14394.79962317292,8080.093841208014,5309.462776808224,3356.771026358641,2878.1079957040693,2821.029644094444,3207.390003020614,2782.14353778677,2957.569678620976,4437.302706326352,6158.734640504587,7882.083858718154,9842.027000033757,11161.915772323777,andres/derecha
20,14764.020987825923,29909.907741000323,34295.39551211823,28752.27430051562,42535.534494293766,42084.35660067649,14420.842491608271,7589.253892111652,5004.2810992591885,2921.1002829679687,2663.361382175432,3153.294015982989,3234.491552847901,2110.265551622916,3148.066912228413,4932.297868396187,5358.888984729754,5242.597144700598,6915.504290467992,13336.975979172705,andres/derecha
21,20988.828895209288,51239.852907085566,42876.792109768816,35532.04012460161,53633.57186766408,40034.41368810379,21723.625168626844,6696.427466417185,3925.631001284111,2643.578998817252,2254.777969813247,3000.623884173489,2786.008319955052,2584.0495237221453,3296.965635094864,4491.244051473515,5484.1925164703525,6751.358493921934,8371.44922208856,9051.273040137563,andres/derecha
22,16142.371405749082,37469.230204397565,30819.965388049302,31865.17464974293,46451.47696932553,32876.93560835125,14505.691102721954,4864.681996832754,2898.7072393887706,2106.783023913557,1779.6395270370615,2129.2509104023998,2391.212214434316,2044.659810187754,2747.16668222043,3285.683097395457,4578.883449400501,6022.407318153262,8818.166232955136,17039.857048560967,andres/derecha
23,20736.534702288605,41160.78869731641,42655.468098152916,39202.296239715164,54772.82962253089,40871.08519704005,17541.300308467376,7043.42190400737,4192.298306672893,2911.234063642213,2534.1508072549896,3325.0222366051507,3212.863615135197,3189.924018669943,5044.585124503686,7140.775555442044,7850.164465069961,7651.457176066132,10625.245668216909,16795.005295759685,andres/derecha
24,13473.107564787224,30397.438272661835,35389.26477718684,28158.52637013939,49663.951804886005,29556.84257506167,13409.307110901529,5926.540348994226,3894.8463474164337,1723.7937994912195,1823.7699056921526,2062.9813149307065,1809.6854465217264,1823.8365031136466,2694.462316270089,3472.0057611533875,5536.5181443030115,7031.065809465918,9766.903191177253,9908.194219169609,andres/derecha
25,23551.283469828413,54392.37749925071,46499.647402816394,36874.085168328216,61022.493427161826,34920.99576096357,19268.337874073568,8092.31124976135,4645.755609669104,3368.645605540898,3035.6195683535675,3379.702139822729,3099.227020294322,3171.778094218691,3219.54008590302,4406.385015718525,4288.1324406865115,5698.698143166717,8502.382077095343,9020.732637937663,andres/derecha
26,17589.669041366582,54618.773077464655,32204.280295307057,26980.68934659528,60363.36274978789,35342.892711464854,14407.067858525967,6927.370713658315,5499.335659458398,3944.2414798206732,3220.5029116652363,3449.118665045052,3416.3278662588373,3284.8799143457204,4143.708023295233,5513.224372107465,7390.439302726088,9234.71471383011,8812.439180802381,8230.44335836545,andres/derecha
27,20392.562842002902,52561.74634409392,40058.8209070584,33049.13965455746,55891.49875087133,44955.910529257,16771.62318519745,6221.857679702905,4936.758658828005,3612.9790300482923,3242.0906100194343,3384.5247790489007,3368.154630099425,2822.1183274512878,3261.5812447725293,3358.3814778568926,6535.093770789989,7247.1489584434485,10305.756052004175,11670.676173927754,andres/derecha
28,18238.21525148407,40267.607356273686,38058.415453688016,28100.516058492343,54288.39212778924,33690.45965026868,12245.875476636384,4929.128875772074,4213.298964682708,2412.701964414856,2511.198261259943,2975.633592254576,3003.533627387197,2637.2631254983075,3537.259540159271,2958.5101682045947,4807.157776383288,6132.935637522496,7655.4392316589465,11681.731553829255,andres/derecha
29,21124.76069688231,46303.00813708273,49746.0735769764,35175.91343465601,63363.211165131084,39842.80176812578,16246.82434141228,8367.029754911591,6728.7118201333105,3943.2779889442354,3415.0539772439256,4341.937617544003,3279.1328166889,3160.440308545695,3894.978357681952,6154.012195835567,6321.641511250391,5774.830382582446,7829.331908744243,10727.169031599537,andres/derecha
30,16754.340942005387,34444.024885312705,35709.18275526063,32630.302143757755,51287.893022233584,29981.667744573853,14702.992710001223,5051.810407664807,5728.176811157851,2201.9401955843537,2327.703671669773,2418.629685449275,2478.260205020304,2041.070948682543,2915.136246237311,3756.895629137876,4807.032770707161,5689.464104785634,8121.933413626151,8270.989720942016,andres/derecha
31,14874.495340285644,37100.28185946967,32313.933467302904,28837.18594003689,39824.48330372306,31621.04706792134,18874.31968682164,7294.578661821695,5680.192739427703,2861.067116330228,2308.7465474446435,3090.25441171166,2978.802790798361,2637.351850706086,3721.441772209824,5391.920079222071,6982.061274003641,8452.139377841075,9184.398659281504,11482.148216867143,andres/derecha
32,21417.46767470087,67065.47285985139,36641.048476076816,26718.00127654576,40767.91440675715,28655.994367768497,19641.201308070118,8670.728376135101,3848.369156793514,3052.914646986808,2797.0840263221016,3256.2037122505963,3327.763218295968,2886.9961198759997,3296.1047585139318,4990.642921317423,4906.60353473123,6601.263159170764,10126.84786934981,12507.402768528453,andres/derecha
33,19981.124606044385,36631.58618827709,40605.04886641128,36551.5864958047,72285.58154562543,41709.086812042995,19473.43083263316,6805.6651888701745,7319.419913781989,3385.9189184818547,2632.9458360232315,3903.086807682264,4368.997648965363,4031.8240177110797,4370.967848009875,4582.674448417034,6041.121168470364,8111.0249019341245,6930.308505571143,9468.31224607574,andres/derecha
