,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,20043.548232906007,46590.59619338103,28248.078126662367,32910.04040308217,25926.78452436372,18833.112042445668,13752.806940608127,12186.307331534546,8639.713277631381,8053.813706294459,6034.125004654092,7845.671963751912,6966.0982445487825,7048.11387909652,5305.538617557009,6977.500693596115,5521.225588039924,4720.544940281472,5637.621660206191,6907.002393516624,vanessa/derecha
1,27436.45604531112,36586.043834485696,30746.79359904368,41992.06284638018,34451.46287108619,16607.536189785926,6095.05717558299,5508.367941875287,5220.839176562398,4675.284929901016,4122.339972855119,4737.935521098464,4500.88799356815,5237.787988906041,4061.3876185388426,4972.682812511364,4767.510807282671,3259.3454740809466,2751.936973204841,3200.4845446200734,vanessa/derecha
2,34909.206488968164,48527.086249471584,32060.321423642265,37894.70416819167,26003.9282076574,13952.677571923701,9031.075350783449,9316.692319568769,10346.02991199735,7218.673849504225,5742.762854443563,5680.29862017971,4345.999829492795,4447.7766264611155,3754.842114988041,3244.0341552191016,2378.4875310644134,2835.0501212154168,4597.86093842099,6822.0309378727425,vanessa/derecha
3,27413.35695259248,34328.078434932664,39858.685895479124,34836.86240940511,35026.996715878646,17660.04781720305,10154.86625795324,7239.115049691626,6777.326539952061,6637.0959427083435,5011.370653806684,5019.171429595474,4486.023425479281,4454.5722218992405,2978.7097839733315,2202.693382247283,2049.1982866712915,3547.056973786884,3267.248739325601,5973.671319208972,vanessa/derecha
4,35590.42262035515,47854.52651706857,23804.496754643467,44829.23885128545,24614.32572983882,19578.27457366594,6023.1721394726355,8167.630913508759,5288.52159593786,6175.615267285964,4337.577722079832,4724.965938510142,2888.0648207626173,3363.796842156821,3213.708248762397,2382.253093545285,2292.2577510679957,4914.907216959046,7357.925512173104,7638.532705996489,vanessa/derecha
5,43755.21099375055,42460.14851194127,25996.267697858253,38363.92592356516,37685.408547913285,21943.015478396504,6863.892998385021,6928.851056635376,5966.5528155160155,4758.045275515838,4393.572183785751,4647.580829908176,4183.592997845612,4082.8061791739037,3116.1670568801924,2669.826440382373,2190.4734923615933,2072.5962591719285,2685.127550545525,2947.5168899898877,vanessa/derecha
6,36124.26086954449,34510.93653509834,33792.91106794356,38560.20534628214,38998.7678676604,23042.822381648086,11533.817483500125,6437.9120015713315,6504.368673976396,5183.2273530539915,4073.402843598585,3961.729850888879,3464.56319641308,3217.3639438933906,3016.8906470727543,2933.657217709952,2474.3680889400007,3694.4282138683398,5248.096491568405,8882.46700829261,vanessa/derecha
7,26069.906989091,30278.60383998416,27621.996542401957,35921.70978400787,28652.48894202229,15926.0647534516,10485.386807788747,8261.964465246409,9901.854464241722,6191.755277830996,4858.965049536701,4778.156519698686,3532.6895190199866,4007.175039020897,3046.889112500913,2582.259509566441,3022.339234978863,5286.841204720736,6120.526163797815,6412.280140846282,vanessa/derecha
8,31171.83293243813,47630.121336945136,24756.423150204195,52545.54246185637,16597.673797461786,17729.39297646226,5961.404154996657,9842.895803246269,10664.022823889167,8846.985428043534,5359.763445149085,5771.585653739923,3385.1279079742994,4324.9520765541165,2746.186095030128,1934.4686752657751,2776.7319764773906,5464.84012466193,7139.9564250097665,6234.703821152608,vanessa/derecha
9,52712.901638812735,47425.496687204686,17872.696466243437,61814.11129131841,15117.856576629016,25481.4311060142,6011.0946049606555,9367.800908855374,10430.016825830711,7913.881235209767,5444.4716557591055,5031.925081683465,4212.647291421108,3945.196610133632,3164.8450699228442,2392.359637686629,3264.7590189829652,4651.6102014514945,5995.481335271024,6081.780053369761,vanessa/derecha
10,42409.68865764294,46391.249270053864,13901.041511586267,51383.66148699536,19129.245097721498,30207.00837110621,7737.843147762774,9728.69643915152,12109.018831779858,8153.530767683578,5399.067998147286,5693.144679831795,4215.821391198902,3858.458062331425,4706.143816737963,3417.6425283571834,3292.5425968708532,6388.002873302279,7225.978189388855,7021.710501204107,vanessa/derecha
