,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,40346.47651692071,34535.207984551584,38847.982572044544,32387.117925092643,36958.562700521776,12937.526136387743,7907.866664380492,10279.171348414458,4521.394865673076,7315.413019530736,3753.289391693701,5771.184713598022,3276.5359230001714,3453.5125699442474,2907.5788582786736,1980.9598222818522,1998.8234565103448,3142.236068700754,8199.999193362248,7616.684498791067,vanessa/izquierda
1,39859.08563526615,35989.58947226713,61993.34747324648,31623.85623206867,54322.834196544354,20130.270316350703,17142.63175873661,12793.236592842666,12557.279745262624,13308.719100219412,8298.269816546417,8613.019892709695,6128.798177849221,5390.746569218743,4868.752289930971,2933.1690460363698,3926.6047433435933,4608.039990155685,9362.30266814532,7565.035267717634,vanessa/izquierda
2,36916.85615804726,42600.46225849383,36491.630903083504,44397.239269563,41886.06514533523,21706.887343858965,16468.10351508688,15963.801922409126,10919.728470320435,10638.005192164195,7233.210513330563,6041.874392525474,5706.095732573391,3412.7323505268573,3583.550765153617,2123.164509112466,3212.4119405468114,4737.138821318803,7398.3224755887295,7599.6053922442225,vanessa/izquierda
3,38858.98496601871,36175.872600393945,42898.24274302577,23437.75184228392,28620.096501727363,20608.575231138522,12251.69702179887,9932.158351466656,9617.42598671206,6180.674515194236,4424.061639768504,4399.865446081654,3050.498717703991,2739.5792592573616,2066.2696758436864,1209.0713461631349,1766.2380235869853,3057.154355145842,7029.801320760768,5281.3247271271475,vanessa/izquierda
4,28399.51197113538,34214.62653417466,42388.367813063596,21159.45069565616,37712.297574002834,13203.43269205439,13525.812449489058,4355.475175409603,12700.418725675005,4850.961293461346,7177.6182394999205,4057.7922359551294,3477.9634096219957,3017.212539769115,2847.286411644881,1821.8498114764527,1978.2707486915435,3258.493095493029,4744.1162024968435,4583.621377042864,vanessa/izquierda
5,49601.95251534897,38380.087932950366,50634.79979595871,33925.20190796206,40693.695701195764,20053.327102439856,13258.193429422932,9031.134630034345,14140.999877773007,8145.329839093447,5967.746886275153,4819.83882569605,3871.5881523036023,4929.688271084162,2628.74668501872,2320.450191047433,3348.939567577066,4866.654381902271,8162.2485119910425,9780.498868219433,vanessa/izquierda
6,30853.031521230878,50493.57891724316,60107.551702642595,39058.87369444561,30172.4690282678,16328.177333816191,10703.13784424443,15502.939213489175,11417.669324389519,10435.424597492325,8136.012737810452,5578.471688742393,4838.8657909992025,3386.069435014469,3320.788572342256,1985.948589214193,4243.901540348499,5653.922648333431,12029.091183961276,10266.432428928962,vanessa/izquierda
7,24809.61686004608,32016.33868809044,58532.40867913076,27097.256621644327,40368.62198280903,15432.926516671787,10135.441419328565,9442.907039813686,12774.706870249673,5796.859259329465,8833.291281997808,3420.1361581744395,4611.279890755281,3591.7845795765397,2918.4234378166198,1555.0406235797925,2168.735478065062,3959.986952919016,8384.412843928345,6839.757014975539,vanessa/izquierda
8,28537.10098920899,27504.89065120519,63245.42839256282,19964.46627217355,62542.24036810103,13956.665436949696,17722.60344240889,8585.113081714251,5238.204955650871,14078.559087122652,4799.115906022273,8906.372958218588,3376.9156277147467,6713.622454134491,2394.3760402171106,2307.645425022637,3341.830089673905,9131.255565061436,10777.784434174391,10919.053066842067,vanessa/izquierda
9,23164.286679001816,39880.94675823592,56754.98410752839,32539.811507388018,28842.479810649984,17268.88054129382,9940.669918958174,10330.137456976918,6557.766594382554,6999.779153910938,5482.200511853929,4297.080498639282,3327.7082084930908,2820.755732339284,2222.345348870612,1348.7999483922301,1798.742486566142,2768.927158745978,4171.110572194037,4990.577420128842,vanessa/izquierda
10,24020.348890473946,41863.29144732229,59008.18960775617,27070.425408849325,38687.815199488185,15658.978396580198,14869.584185448515,10164.813199844195,7538.41914151667,8873.952759399323,5914.986080500784,6291.2213749894945,3999.8879636286415,3435.816118733672,2580.579812155629,1531.8472596995225,3129.665921130233,4350.408868342535,9881.33485196284,9423.721600748671,vanessa/izquierda
11,22028.886946088693,28688.70322937984,58884.475399122304,24301.874926762044,38933.75223726842,12982.485135453453,10927.979751359477,3493.9812177656295,7615.588829608835,3449.514172602059,5810.806324502806,2850.6831477833543,3309.1014704376007,2304.130072195353,2391.2890829947078,1155.375667248296,1716.2500604507202,1889.7972069442624,4649.989089116003,3488.832940430937,vanessa/izquierda
12,27557.53794665464,39141.417608446536,47177.90196111642,33211.21904401517,37403.36180308832,19541.444501570833,14097.495526977586,6932.4095458266065,8341.477368846612,5291.766120236783,4530.4230858752335,4874.886671763218,3464.17715694427,2768.310329011773,3004.812635373797,1736.3739423291468,2210.9542301903807,3506.8563816583624,5478.7481745506075,4226.807594414477,vanessa/izquierda
