,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,41863.012450506605,42639.564661068034,12860.339246817184,16781.669054187765,7741.71762254549,20102.821995897368,18860.29679038212,19628.750281886234,17164.826963631254,8233.922233094458,7234.7041699065185,6897.840251157641,9184.028533151471,7546.145122311671,10289.30171196047,6120.107107261944,16813.450148706917,14948.533427666858,10682.370869317998,12870.085345846108,vanessa/vanessa
1,60339.08333910077,76270.86753822795,21335.7370333908,32973.961384610964,17266.09340011228,15345.353653386508,32208.184368401962,10190.053996090226,20428.220946578884,12336.81425501745,7010.10989104505,8111.098006445348,6056.5732685398425,6396.291507267734,6631.125189328125,5819.798134628702,8886.70717191149,8913.77664005753,6977.429849395378,5997.1522545003745,vanessa/vanessa
2,42794.97010170598,68851.09542421589,15516.3926909782,26349.07505252724,7646.300768489308,26523.131691126808,20034.54381961767,20017.17540385393,15537.263345576384,11003.20013206109,8769.594844505358,6778.862547855225,6498.25817754364,6261.358068665025,7450.691332900453,9180.676303097383,8383.133941060243,13884.157108248213,7594.058612975528,12582.096432271992,vanessa/vanessa
3,47692.363205084024,68674.19580963433,24985.786644634936,33147.53729204928,8910.614371890022,15449.29728203431,17994.21462093394,16296.477388279029,17642.705684956563,12376.074799285503,5991.686523539269,7432.695776208934,5165.442492768438,3780.5512297140963,5047.251064458169,6934.943062369807,11638.243717643876,8251.981160184443,7447.453478021139,6077.536229335378,vanessa/vanessa
4,56026.78705528294,74202.19771966402,20387.075871049183,31004.076297353688,12862.057108573177,15168.745424510551,27184.03091921616,8223.838002715902,21352.735745158825,9789.876289407634,8185.634141808994,7511.899664210626,4866.6729679314,4665.113543344011,4952.117412647276,7075.4088591462205,6169.935105053829,10138.762311178494,7656.70213095407,5116.561889984957,vanessa/vanessa
5,32913.07439483252,54599.92437634496,16845.4746879231,29388.650675431007,9513.341369027628,13101.670034151632,25971.444814574315,11113.448283674192,15031.9999725833,7458.3913562995995,8697.809366261832,8426.76006263851,8315.524864775229,5325.7685710995,4996.481240340307,6442.8095782024475,8335.750623352398,10413.305706107287,5127.058246198871,5560.423512503305,vanessa/vanessa
6,28062.399942526758,50008.18715582862,21162.332947073315,20109.696444911817,9205.41347346735,24291.694954200262,13882.450094363809,17449.705377321174,7000.540336569364,16785.68765630223,4557.981046533603,6349.982705059187,5357.336189661222,5439.113080481158,5614.398163494054,11709.807868761132,11631.005957840838,7430.9879392047205,7749.7094159947155,6604.171600977625,vanessa/vanessa
7,23688.749523944767,15215.752099082487,6182.227763186656,6731.255425345324,3296.413688761804,6854.672889019597,3316.400241292645,5133.828304866111,4652.824631635135,2069.558069194292,1808.900066215897,1321.0322615042426,1416.9580553947662,1457.8419270728778,1520.8640642853934,1319.9088329739704,1225.8023324001927,2069.9007645746046,1347.3541156163064,2021.4921283055828,vanessa/vanessa
8,44977.86659500343,65032.35377888796,22199.415428109434,30757.06555707036,10257.740523076493,30803.47609497488,18045.44345019047,13017.301394062326,20348.457944067814,9519.068613461584,8651.208576603607,5972.068981133267,7723.502770506043,5820.258088824191,8476.737837268613,12997.769733257966,10419.830536630954,15130.797113728104,9078.028257247099,6095.997055424103,vanessa/vanessa
9,48047.33091237825,62414.38803655589,17726.298290344996,27098.664476669932,9454.057682019764,30812.272463122965,14242.546364561082,16006.151201301189,20991.69996322466,8509.95160127,9008.454629153464,6676.658472895813,6057.047767864595,5135.744835614419,7192.3709791728015,6676.1981854711275,9462.05129537663,13988.803836368766,6058.673164167234,12102.198032418315,vanessa/vanessa
